GEOID_2019,ST_ABBREV,TURBZNAME,TURBZCODE,TLIFENAME,TLIFECODE,TSEGNAME,households,urbanization,lifemode,segment
240010001001,MD,Rural,6,Cozy Country Living,6,Rural Resort Dwellers,25,Rural,Cozy Country Living,Rural Resort Dwellers
240010001002,MD,Rural,6,Rustic Outposts,10,Rooted Rural,47,Rural,Rustic Outposts,Rooted Rural
240010001003,MD,Rural,6,Rustic Outposts,10,Rooted Rural,47,Rural,Rustic Outposts,Rooted Rural
240010002001,MD,Rural,6,Rustic Outposts,10,Rooted Rural,47,Rural,Rustic Outposts,Rooted Rural
240010002002,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010002003,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010003001,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010003002,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010003003,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010004001,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010004002,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010004003,MD,Metro Cities,3,Hometown,12,Traditional Living,57,Metro Cities,Hometown,Traditional Living
240010005001,MD,Semirural,5,Hometown,12,Small Town Simplicity,58,Semirural,Hometown,Small Town Simplicity
240010005002,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240010006001,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010006002,MD,Metro Cities,3,Hometown,12,Traditional Living,57,Metro Cities,Hometown,Traditional Living
240010007001,MD,Metro Cities,3,Senior Styles,9,Retirement Communities,44,Metro Cities,Senior Styles,Retirement Communities
240010007002,MD,Semirural,5,Hometown,12,Small Town Simplicity,58,Semirural,Hometown,Small Town Simplicity
240010008001,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240010008002,MD,Metro Cities,3,Middle Ground,8,Hardscrabble Road,39,Metro Cities,Middle Ground,Hardscrabble Road
240010010001,MD,Metro Cities,3,Hometown,12,Traditional Living,57,Metro Cities,Hometown,Traditional Living
240010010002,MD,Metro Cities,3,Senior Styles,9,Social Security Set,45,Metro Cities,Senior Styles,Social Security Set
240010011001,MD,Metro Cities,3,Senior Styles,9,Retirement Communities,44,Metro Cities,Senior Styles,Retirement Communities
240010012001,MD,Suburban Periphery,4,GenXurban,5,Midlife Constants,20,Suburban Periphery,GenXurban,Midlife Constants
240010012002,MD,Urban Periphery,2,GenXurban,5,Rustbelt Traditions,19,Urban Periphery,GenXurban,Rustbelt Traditions
240010012003,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240010013001,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
