NAME,count
"Block Group 1, Census Tract 1003, Baltimore city, Maryland",1
"Block Group 1, Census Tract 101, Baltimore city, Maryland",1
"Block Group 1, Census Tract 102, Baltimore city, Maryland",9
"Block Group 1, Census Tract 103, Baltimore city, Maryland",6
"Block Group 1, Census Tract 104, Baltimore city, Maryland",6
"Block Group 1, Census Tract 105, Baltimore city, Maryland",3
"Block Group 1, Census Tract 1101, Baltimore city, Maryland",9
"Block Group 1, Census Tract 1102, Baltimore city, Maryland",2
"Block Group 1, Census Tract 1201, Baltimore city, Maryland",12
"Block Group 1, Census Tract 1202.01, Baltimore city, Maryland",49
"Block Group 1, Census Tract 1202.02, Baltimore city, Maryland",1
"Block Group 1, Census Tract 1203, Baltimore city, Maryland",21
"Block Group 1, Census Tract 1204, Baltimore city, Maryland",10
"Block Group 1, Census Tract 1205, Baltimore city, Maryland",22
"Block Group 1, Census Tract 1206, Baltimore city, Maryland",20
"Block Group 1, Census Tract 1207, Baltimore city, Maryland",29
"Block Group 1, Census Tract 1301, Baltimore city, Maryland",25
"Block Group 1, Census Tract 1302, Baltimore city, Maryland",9
"Block Group 1, Census Tract 1303, Baltimore city, Maryland",18
"Block Group 1, Census Tract 1304, Baltimore city, Maryland",4
"Block Group 1, Census Tract 1306, Baltimore city, Maryland",51
"Block Group 1, Census Tract 1307, Baltimore city, Maryland",4
"Block Group 1, Census Tract 1308.03, Baltimore city, Maryland",3
"Block Group 1, Census Tract 1308.04, Baltimore city, Maryland",15
"Block Group 1, Census Tract 1308.05, Baltimore city, Maryland",4
"Block Group 1, Census Tract 1308.06, Baltimore city, Maryland",32
"Block Group 1, Census Tract 1401, Baltimore city, Maryland",15
"Block Group 1, Census Tract 1402, Baltimore city, Maryland",28
"Block Group 1, Census Tract 1503, Baltimore city, Maryland",1
"Block Group 1, Census Tract 1504, Baltimore city, Maryland",2
"Block Group 1, Census Tract 1505, Baltimore city, Maryland",4
"Block Group 1, Census Tract 1507.01, Baltimore city, Maryland",1
"Block Group 1, Census Tract 1507.02, Baltimore city, Maryland",2
"Block Group 1, Census Tract 1508, Baltimore city, Maryland",4
"Block Group 1, Census Tract 1509, Baltimore city, Maryland",9
