Name,count
Abell,36
Allendale,19
Arcadia,50
Arlington,5
Armistead Gardens,12
Ashburton,6
Auchentoroly-Parkwood,8
Baltimore Highlands,12
Barclay,26
Barre Circle,9
Bayview,5
Beechfield,59
Belair-Edison,44
Belair-Parkside,4
Bellona-Gittings,17
Belvedere,26
Better Waverly,67
Beverly Hills,50
Biddle Street,1
Bolton Hill,31
Brewers Hill,3
Bridgeview/Greenlawn,3
Broadway East,38
Broening Manor,2
Brooklyn,55
Butchers Hill,34
CARE,10
Callaway-Garrison,11
Cameron Village,3
Canton,70
Canton Industrial Area,1
Carroll-South Hilton,3
Carrollton Ridge,4
Cedarcroft,26
Cedmont,31
Cedonia,9
Central Forest Park,4
Central Park Heights,9
Charles North,12
Charles Village,87
Cherry Hill,9
Cheswolde,28
Chinquapin Park,7
Coldspring,4
Coldstream Homestead Montebello,18
Concerned Citizens of Forest Park,9
Coppin Heights/Ash-Co-East,1
Cross Country,18
Cross Keys,5
Curtis Bay,16
Cylburn,1
Darley Park,1
Dickeyville,37
Dolfield,4
Dorchester,3
Downtown,19
Downtown West,2
East Arlington,2
East Baltimore Midway,7
Eastwood,1
Edgewood,3
Edmondson Village,14
Ednor Gardens-Lakeside,78
Ellwood Park/Monument,1
Evergreen,20
Evesham Park,8
Fairfield Area,1
Fairmount,4
Fallstaff,4
Federal Hill,9
Fells Point,18
Forest Park,1
Four By Four,8
Frankford,70
Franklin Square,17
Franklintown,30
Franklintown Road,3
Garwyn Oaks,9
Glen,12
Glen Oaks,24
Graceland Park,48
Greektown,40
Greenmount West,31
Greenspring,4
Grove Park,1
Guilford,29
Gwynns Falls,12
Hamilton,164
Hamilton Hills,131
Hampden,132
Hanlon-Longwood,8
Harbor East,3
Harlem Park,6
Harwood,31
Heritage Crossing,1
Highlandtown,21
Hillen,8
Hoes Heights,25
Hollins Market,21
Homeland,97
Howard Park,22
Hunting Ridge,64
Idlewood,2
Irvington,51
Johns Hopkins Homewood,1
Johnston Square,9
Jonestown,30
Kenilworth Park,11
Kernewood,2
Keswick,17
Key Highway,9
Lake Evesham,7
Lake Walker,47
Lakeland,9
Langston Hughes,7
Lauraville,159
Levindale,8
Liberty Square,4
Little Italy,4
Loch Raven,16
Locust Point,36
Madison Park,34
Madison-Eastend,2
Mayfield,25
McElderry Park,17
Medfield,47
Medford,7
Mid-Govans,15
Mid-Town Belvedere,19
Middle East,9
Midtown-Edmondson,2
Millhill,12
Mondawmin,8
Moravia-Walther,42
Morgan Park,6
Morrell Park,38
Mosher,3
Mount Clare,8
Mount Holly,5
Mount Vernon,26
Mount Washington,166
Mount Winans,1
New Northwood,7
North Harford Road,77
North Roland Park/Poplar Hill,26
Oakenshawe,48
Oaklee,2
Old Goucher,3
Oldtown,2
Oliver,11
Original Northwood,23
Otterbein,7
Overlea,6
Panway/Braddish Avenue,2
Park Circle,1
Parklane,2
Parkside,5
Parkway,3
Patterson Park Neighborhood,36
Patterson Place,16
Pen Lucy,7
Penn North,1
Penn-Fallsway,1
Penrose/Fayette Street Outreach,7
Perring Loch,4
Pimlico Good Neighbors,6
Poppleton,1
Purnell,4
Radnor-Winston,13
Ramblewood,1
Remington,59
Reservoir Hill,78
Richnor Springs,1
Riverside,25
Rognel Heights,1
Roland Park,85
Rosebank,11
Rosemont,10
Rosemont East,14
Rosemont Homeowners/Tenants,1
Sabina-Mattfeldt,23
Saint Helena,1
Saint Josephs,3
Sandtown-Winchester,7
Seton Business Park,1
Seton Hill,2
Sharp-Leadenhall,2
Shipley Hill,1
South Baltimore,21
Stadium/Entertainment Area,1
Taylor Heights,4
Ten Hills,29
The Orchards,23
Towanda-Grantley,4
Tremont,30
Tuscany-Canterbury,16
Union Square,13
University Of Maryland,2
Uplands,3
Upper Fells Point,42
Upton,5
Villages of Homeland,5
Violetville,51
Wakefield,13
Walbrook,5
Waltherson,68
Washington Hill,28
Washington Village/Pigtown,20
Waverly,34
West Arlington,4
West Forest Park,3
West Hills,12
Westfield,143
Westgate,72
Westport,4
Wilson Park,1
Winchester,1
Windsor Hills,24
Winston-Govans,8
Woodberry,33
Woodbourne-McCabe,6
Woodmere,3
Wyman Park,26
Wyndhurst,13
Yale Heights,37
York-Homeland,1
